Alcaeus of Sardis,932
Ventidius,933
Metellus the tribune,934
Plancus,935
Gaius Aurelius,936
Tidius Sextius,937
Lucius Octavius,938
Sulpicius Camerinus,939
Caesarion,940
Abriorix,941
Cinna the poet,942
Caninius Rebilus,943
Amantius,944
Abra,945
Granius Petro,946
Corfinius,947
Tanusius,948
Theopompus,949
Considius,950
Valerius Leo,951
Acilius,952
Cosconius,953
Galba,954
Marcus Junius Silanus,955
Cornelius,956
Cornelius the seer,957
Cornelius Balbus,958
Cato the Elder,959
Lucius Caesar,960
Ptolemy of Cyprus,961
Euripides,962
Socrates,963
Apollodorus of Phalerum,964
Munatius Rufus,965
Porcia,966
Antony the son,967
Cleopatra Selene,968
Clodia the daughter,969
Julia Drusilla,970
Antonia,971
Germanicus,972
Agrippina,973
Tiberius Nero,974
Titus Annius,975
Quintus Annius,976
Lucius Vargunteius,977
Publius Autronius,978
Figulus,979
Gnaeus Piso,980
Publius Furius,981
Gaius Calpurnius Piso,982
Publius Gabinius Capito,983
Lucius Torquatus,984
Aulus Manlius Torquatus,985
Manius Lepidus,986
Gaius Cornelius,987
Marcus Fulvius Nobilior,988
Lucius Tarquinius,989
Caeparius,990
Laeca,991
Publius Sulla,992
Servius Sulla,993
Servius Sulla,994
Decimus Junius Brutus,995
Sempronia,996
Septimius of Camerinum,997
Gaius Julius,998
Gaius Pomptinus,999
Gaius Flaminius,1000
Valerius Flaccus,1001
Perses,1002
Gnaeus Terentius,1003
Lentulus Spinther,1004
Lucius Saenius,1005
Quintus Pompeius Rufus,1006
Cossinius,1007
Varinus,1008
Furius,1009
Sillaces,1010
Jason of Tralles,1011
Scrophas,1012
Pomaxathres,1013
Gaius Canicius,1014
Mummius,1015
Quintus,1016
Vargonteius,1017
Vibius Paciacus,1018
Sicinnius,1019
Licinia the other Vestal,1020
Plotius,1021
Ateius the tribune,1022
Apollonius,1023
Vagises,1024
Onatius Aurelius,1025
Andromachus,1026
Petronius,1027
Octavius,1028
Gaius Paccianus,1029
Ignatius,1030
Coponius,1031
Aristides,1032
Roscius,1033
Censorinus,1034
Nicomachus,1035
Megabacchus,1036
Hieronymus,1037
Little Bibulus,1038
Herostratus,1039
Theomnestus,1040
Another Brutus,1041
Aristus,1042
Empylus,1043
Nicolaus,1044
Valerius Maximus,1045
Polybius,1046
Servilius Ahala,1047
Spurius Maelius,1048
Volumnius the actor,1049
Saculio the buffoon,1050
Cleitus,1051
Dardanus,1052
Statyllius,1053
Lucilius friend of Brutus,1054
Publius Silicius,1055
Lucius Pella,1056
Atillius,1057
Acilius,1058
Demetrius,1059
Clodius the lieutenant,1060
Sestius,1061
Gnaeus Caepio,1062
Philostratus,1063
Fabia,1064
Lepida,1065
Marcellus,1066
Sextus the nephew,1067
Sarpedon,1068
Sippius,1069
Barca,1070
Philargyrus,1071
Nicias,1072
Athenodorus Cordylion,1073
Amnaeus,1074
Marcus Rubrius,1075
Atilia,1076
Apollonides,1077
Cleanthes,1078
Butas,1079
Marphadates,1080
Psyche,1081
Serranus,1082
Cornelius Dolabella lieutenant of Augustus,1083
Marcus Octavius,1084
Marcus Insteius,1085
Coelius,1086
Sarmentus,1087
Theodorus,1088
Iras,1089
Charmion,1090
Trebellius,1091
Clodius,1092
Dellius,1093
Atia,1094
Ancharia,1095
Philadelphus,1096
Tarcondemus,1097
Mithridates of Commagene,1098
Sadalas of Thrace,1099
Malchus,1100
Mithridates,1101
Monaeses,1102
Alexander of Antioch,1103
Dicomes,1104
Caninius Gallus,1105
Lucius Ahenobarbus,1106
Gnaeus Ahenobarbus,1107
Solon,1108
Sossius,1109
Geminius,1110
Seleucus,1111
Seleucus the Steward,1112
Euphronius,1113
Alexas,1114
Thyrsus,1115
Eros,1116
Proculeius,1117
Scellius,1118
Arruntius,1119
Varius Cotylon,1120
Aristocrates,1121
Aristophanes,1122
Alcibiades,1123
Apemantus,1124
Timon,1125
Hybreas,1126
Cytheris,1127
Hippias,1128
Hipparchus,1129
Theophilus,1130
Eurycles,1131
Lachares,1132
Dercetaeus,1133
Flavius Gallus,1134
Areius,1135
Rhodon,1136
Pharnapates,1137
Antiochus I Theos,1138
Lucceius,1139
Julia the sister,1140
Lucius Cinna,1141
Eunoe,1142
Bogudes,1143
Philemon the poisoner,1144
Masintha,1145
Gaius Licinius Macer Calvus,1146
Pitholaus,1147
