Source,Target,Weight
Sextus Pompey,Murcus,14
Domitius Ahenobarbus,Murcus,11
Augustus,Murcus,4
Antony,Murcus,3
Caecilius Bassus,Murcus,2
Cassius,Murcus,2
Menodorus,Murcus,2
Pompey,Pompey Strabo,8
Sulla,Pompey Strabo,5
Cinna,Pompey Strabo,4
Marius,Pompey Strabo,3
Quintus Pompeius,Pompey Strabo,2
Metellus Pius,Pompey Strabo,2
Crassus,Surena,12
Orodes,Surena,6
Lentulus Sura,Cethegus,18
Cicero,Cethegus,9
Catiline,Cethegus,7
Crassus,Cethegus,2
Marius,Octavius,12
Cinna,Octavius,10
Sulla,Octavius,4
Sertorius,Octavius,3
Metellus Pius,Octavius,2
Mithridates,Octavius,2
Antony,Hirtius,17
Augustus,Hirtius,15
Pansa,Hirtius,14
Decimus Brutus,Hirtius,5
Cicero,Hirtius,2
Dolabella,Hirtius,2
Brutus,Marcus Messala Corvinus,6
Augustus,Marcus Messala Corvinus,5
Cassius,Marcus Messala Corvinus,5
Sextus Pompey,Marcus Messala Corvinus,3
Agrippa,Marcus Messala Corvinus,2
Pompey,Marcus Messala Corvinus,2
Clodius,Milo,13
Pompey,Milo,6
Cicero,Milo,5
Metellus Scipio,Milo,2
Hirtius,Pansa,14
Antony,Pansa,11
Augustus,Pansa,11
Cicero,Pansa,3
Decimus Brutus,Pansa,3
Dolabella,Pansa,3
Dolabella,Trebonius,11
Caesar,Trebonius,10
Decimus Brutus,Trebonius,8
Antony,Trebonius,5
Cassius,Trebonius,5
Brutus,Trebonius,5
Tillius Cimber,Trebonius,4
Cato,Trebonius,2
Pompey,Afranius,15
Caesar,Afranius,9
Petreius,Afranius,7
Metellus Scipio,Afranius,3
Sertorius,Afranius,3
Decimus Brutus,Afranius,2
Mithridates,Afranius,2
Gaius Gracchus,Livius Drusus,2
Caesar,Metellus Nepos,6
Cato,Metellus Nepos,6
Cicero,Metellus Nepos,5
Crassus,Publius Crassus,10
Cicero,Publius Crassus,4
Quintus Catulus Capitolinus,Aemilius Lepidus,7
Perpenna,Aemilius Lepidus,3
Sertorius,Aemilius Lepidus,2
Cicero,Antonius Hybrida,9
Catiline,Antonius Hybrida,8
Marcus Lucullus,Antonius Hybrida,2
Cato,Favonius,9
Pompey,Favonius,6
Caesar,Favonius,3
Brutus,Favonius,3
Sulla,Fimbria,11
Mithridates,Fimbria,7
Lucullus,Fimbria,3
Sextus Pompey,Furnius,7
Lucius Antonius,Furnius,5
Antony,Furnius,4
Augustus,Furnius,3
Pompey,Furnius,2
Titius,Furnius,2
Crassus,Orodes,7
Cato,Cato the son,8
Caesar,Cato the son,3
Pompey,Gabinius,5
Lucius Calpurnius Piso,Gabinius,4
Antony,Gabinius,4
Crassus,Gabinius,3
Ptolemy XII Auletes,Gabinius,3
Caesar,Gabinius,2
Menecrates,Gaius Calvisius,5
Augustus,Gaius Calvisius,5
Menodorus,Gaius Calvisius,4
Sextus Pompey,Gaius Calvisius,2
Agrippa,Gaius Calvisius,2
Antony,Gaius Calvisius,2
Augustus,Salvidienus,17
Lucius Antonius,Salvidienus,9
Sextus Pompey,Salvidienus,6
Agrippa,Salvidienus,6
Publius Ventidius Bassus,Salvidienus,5
Antony,Salvidienus,3
Asinius Pollio,Salvidienus,3
Cato,Murena,6
Silanus,Murena,4
Sulla,Murena,3
Catiline,Murena,2
Lucullus,Murena,2
Tigranes,Murena,2
Cato,Munatius Rufus,26
Fulvius Flaccus,Lucius Opimius,4
Gaius Gracchus,Lucius Opimius,4
Caesar,Casca,9
Brutus,Casca,6
Tillius Cimber,Casca,2
Cassius,Casca,2
Mithridates,Pharnaces,7
Caesar,Pharnaces,6
Pompey,Pharnaces,4
Metellus Scipio,Pharnaces,2
Cato,Pharnaces,2
Cornificius,Titus Sextius,12
Cassius,Titus Sextius,3
Augustus,Titus Sextius,3
Lepidus,Titus Sextius,2
Brutus,Gaius Antonius,13
Antony,Gaius Antonius,5
Dolabella,Gaius Antonius,3
Caesar,Gaius Antonius,2
Caesar,Gaius Claudius Marcellus Minor,9
Pompey,Gaius Claudius Marcellus Minor,5
Augustus,Gaius Claudius Marcellus Minor,4
Curio,Gaius Claudius Marcellus Minor,3
Antony,Gaius Claudius Marcellus Minor,3
Octavia,Gaius Claudius Marcellus Minor,2
Cicero,Gaius Claudius Marcellus Minor,2
Caesar,Gnaeus Pompey,9
Sextus Pompey,Gnaeus Pompey,6
Pompey,Gnaeus Pompey,5
Juba,Gnaeus Pompey,2
Cato,Gnaeus Pompey,2
Caesar,Lucius Calpurnius Piso,10
Pompey,Lucius Calpurnius Piso,7
Cato,Lucius Calpurnius Piso,5
Gabinius,Lucius Calpurnius Piso,4
Antony,Lucius Calpurnius Piso,3
Sulla,Lucius Calpurnius Piso,2
Sulla,Norbanus,9
Carbo,Norbanus,6
Lucius Scipio,Norbanus,4
Metellus Pius,Norbanus,4
Sertorius,Norbanus,2
Gaius Marius,Norbanus,2
Caesar,Petreius,15
Pompey,Petreius,8
Afranius,Petreius,7
Juba,Petreius,3
Cato,Petreius,3
Metellus Scipio,Petreius,2
Cicero,Quintus Cicero,8
Atticus,Quintus Cicero,3
Caesar,Quintus Cicero,2
Marius,Saturninus,7
Metellus Numidicus,Saturninus,4
Sulpicius,Saturninus,2
Metellus Numidicus,Apuleius,6
Marius,Apuleius,2
Jugurtha,Bocchus,11
Marius,Bocchus,11
Sulla,Bocchus,7
Caesar,Caecilius Bassus,4
Cassius,Caecilius Bassus,3
Murcus,Caecilius Bassus,2
Caesar,Ptolemy XIII,8
Cleopatra,Ptolemy XIII,6
Pompey,Ptolemy XIII,5
Sulla,Quintus Pompeius,16
Pompey Strabo,Quintus Pompeius,2
Mithridates,Quintus Pompeius,2
Murena,Silanus,4
Cato,Silanus,3
Catiline,Silanus,2
